match_id,season,venue,start_date,innings,balls,batting_team,bowling_team,cur_score,crr,balls_left,wicket_left,last_5_ov,city,total_score
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,6,Biratnagar Kings,Janakpur Bolts,6,6.0,114,10,5,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,7,Biratnagar Kings,Janakpur Bolts,6,5.14,113,9,5,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,8,Biratnagar Kings,Janakpur Bolts,6,4.5,112,9,5,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,9,Biratnagar Kings,Janakpur Bolts,6,4.0,111,9,5,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,10,Biratnagar Kings,Janakpur Bolts,7,4.2,110,9,6,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,11,Biratnagar Kings,Janakpur Bolts,7,3.82,109,9,6,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,12,Biratnagar Kings,Janakpur Bolts,7,3.5,108,9,6,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,13,Biratnagar Kings,Janakpur Bolts,8,3.69,107,9,7,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,14,Biratnagar Kings,Janakpur Bolts,9,3.86,106,9,8,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,15,Biratnagar Kings,Janakpur Bolts,10,4.0,105,9,9,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,16,Biratnagar Kings,Janakpur Bolts,10,3.75,104,9,9,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,17,Biratnagar Kings,Janakpur Bolts,10,3.53,103,9,9,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,18,Biratnagar Kings,Janakpur Bolts,11,3.67,102,9,10,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,19,Biratnagar Kings,Janakpur Bolts,11,3.47,101,9,10,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,20,Biratnagar Kings,Janakpur Bolts,12,3.6,100,9,11,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,21,Biratnagar Kings,Janakpur Bolts,13,3.71,99,9,12,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,22,Biratnagar Kings,Janakpur Bolts,14,3.82,98,9,13,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,23,Biratnagar Kings,Janakpur Bolts,15,3.91,97,9,14,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,24,Biratnagar Kings,Janakpur Bolts,19,4.75,96,9,18,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,25,Biratnagar Kings,Janakpur Bolts,21,5.04,95,9,20,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,26,Biratnagar Kings,Janakpur Bolts,21,4.85,94,9,20,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,27,Biratnagar Kings,Janakpur Bolts,22,4.89,93,9,21,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,28,Biratnagar Kings,Janakpur Bolts,22,4.71,92,9,21,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,29,Biratnagar Kings,Janakpur Bolts,23,4.76,91,9,22,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,30,Biratnagar Kings,Janakpur Bolts,27,5.4,90,9,26,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,31,Biratnagar Kings,Janakpur Bolts,27,5.23,89,9,26,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,32,Biratnagar Kings,Janakpur Bolts,31,5.81,88,9,26,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,33,Biratnagar Kings,Janakpur Bolts,35,6.36,87,9,30,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,34,Biratnagar Kings,Janakpur Bolts,35,6.18,86,9,30,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,35,Biratnagar Kings,Janakpur Bolts,37,6.34,85,9,31,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,36,Biratnagar Kings,Janakpur Bolts,38,6.33,84,9,32,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,37,Biratnagar Kings,Janakpur Bolts,42,6.81,83,9,36,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,38,Biratnagar Kings,Janakpur Bolts,43,6.79,82,9,37,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,39,Biratnagar Kings,Janakpur Bolts,44,6.77,81,9,38,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,40,Biratnagar Kings,Janakpur Bolts,45,6.75,80,9,38,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,41,Biratnagar Kings,Janakpur Bolts,45,6.59,79,9,38,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,42,Biratnagar Kings,Janakpur Bolts,46,6.57,78,9,39,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,43,Biratnagar Kings,Janakpur Bolts,47,6.56,77,9,39,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,44,Biratnagar Kings,Janakpur Bolts,47,6.41,76,9,38,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,45,Biratnagar Kings,Janakpur Bolts,48,6.4,75,9,38,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,46,Biratnagar Kings,Janakpur Bolts,49,6.39,74,9,39,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,47,Biratnagar Kings,Janakpur Bolts,49,6.26,73,9,39,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,48,Biratnagar Kings,Janakpur Bolts,53,6.62,72,9,42,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,49,Biratnagar Kings,Janakpur Bolts,53,6.49,71,9,42,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,50,Biratnagar Kings,Janakpur Bolts,53,6.36,70,8,41,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,51,Biratnagar Kings,Janakpur Bolts,54,6.35,69,8,41,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,52,Biratnagar Kings,Janakpur Bolts,55,6.35,68,8,41,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,53,Biratnagar Kings,Janakpur Bolts,55,6.23,67,8,40,Kathmandu,127
1,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-11-30,1,54,Biratnagar Kings,Janakpur Bolts,55,6.11,66,8,36,Kathmandu,127
